Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2011/2012,AK,Adapted Softball,0,0,0,0
2011/2012,AK,Adapted Track,0,0,0,0
2011/2012,AK,Air Riflery,0,0,0,0
2011/2012,AK,Archery,0,0,0,0
2011/2012,AK,Badminton,0,0,0,0
2011/2012,AK,Baseball,34,5,742,5
2011/2012,AK,Basketball,150,126,2163,1807
2011/2012,AK,Bowling,8,8,61,61
2011/2012,AK,Competitive Spirit Squad,12,53,48,686
2011/2012,AK,Crew,0,0,0,0
2011/2012,AK,Cross Country,111,111,1118,789
2011/2012,AK,DANCE,0,0,0,0
2011/2012,AK,Dance/Drill,0,0,0,0
2011/2012,AK,"Dance Team, High Kick",0,0,0,0
2011/2012,AK,"Dance Team, Jazz",0,0,0,0
2011/2012,AK,Decathlon,0,0,0,0
2011/2012,AK,Drill Team,0,0,0,0
2011/2012,AK,Equestrian,0,0,0,0
2011/2012,AK,Fencing,0,0,0,0
2011/2012,AK,Field Hockey,0,0,0,0
2011/2012,AK,Flag Football,3,8,3,521
2011/2012,AK,Football -- 11-Player,34,34,2063,28
2011/2012,AK,Football -- 6-player,0,0,0,0
2011/2012,AK,Football -- 8-player,3,2,20,2
2011/2012,AK,Football -- 9-player,0,0,0,0
2011/2012,AK,Golf,0,0,0,0
2011/2012,AK,Gymnastics,1,12,1,155
2011/2012,AK,Heptathlon,0,0,0,0
2011/2012,AK,Ice Hockey,27,39,592,147
2011/2012,AK,Judo,0,0,0,0
2011/2012,AK,Kayaking,0,0,0,0
2011/2012,AK,Lacrosse,0,0,0,0
2011/2012,AK,Mixed 6-Coed Volleyball,75,75,272,565
2011/2012,AK,Mt. Biking,0,0,0,0
2011/2012,AK,Native Youth Olympics,0,0,0,0
2011/2012,AK,None,0,0,0,0
2011/2012,AK,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,AK,Pentathlon,0,0,0,0
2011/2012,AK,Riflery,15,15,175,93
2011/2012,AK,Rodeo,0,0,0,0
2011/2012,AK,RUGBY,0,0,0,0
2011/2012,AK,Rythmic Gymnastics,0,0,0,0
2011/2012,AK,sailing,0,0,0,0
2011/2012,AK,Skiing -- Alpine,0,0,0,0
2011/2012,AK,Skiing -- Cross Country,25,25,452,466
2011/2012,AK,Snowboarding,0,0,0,0
2011/2012,AK,Soccer,36,35,995,983
2011/2012,AK,Softball -- Fast Pitch,1,30,2,724
2011/2012,AK,Softball -- Slow Pitch,0,0,0,0
2011/2012,AK,Soft Tennis,0,0,0,0
2011/2012,AK,Surfing,0,0,0,0
2011/2012,AK,Swimming & Diving,36,36,429,502
2011/2012,AK,Synchronized Swimming,0,0,0,0
2011/2012,AK,Team Tennis,0,0,0,0
2011/2012,AK,Tennis,17,17,258,210
2011/2012,AK,Track and Field -- Indoor,0,0,0,0
2011/2012,AK,Track and Field -- Outdoor,55,55,1208,925
2011/2012,AK,Volleyball,50,50,4,1475
2011/2012,AK,Water Polo,0,0,0,0
2011/2012,AK,Weight Lifting,0,0,0,0
2011/2012,AK,Wrestling,96,96,1436,169
2011/2012,AZ,Adapted Basketball,0,0,0,0
2011/2012,AZ,Adapted Bowling,0,0,0,0
2011/2012,AZ,Adapted Floor Hockey,0,0,0,0
2011/2012,AZ,Adapted Soccer,0,0,0,0
2011/2012,AZ,Adapted Softball,0,0,0,0
2011/2012,AZ,Adapted Track,0,0,0,0
2011/2012,AZ,Air Riflery,0,0,0,0
2011/2012,AZ,Archery,0,0,0,0
2011/2012,AZ,Badminton,0,53,0,1057
2011/2012,AZ,Baseball,221,0,7855,0
2011/2012,AZ,Basketball,245,242,7854,6459
2011/2012,AZ,Bowling,0,0,0,0
2011/2012,AZ,Competitive Spirit Squad,70,188,354,5965
2011/2012,AZ,Crew,0,0,0,0
2011/2012,AZ,Cross Country,192,188,3306,2731
2011/2012,AZ,DANCE,0,0,0,0
2011/2012,AZ,Dance/Drill,0,0,0,0
2011/2012,AZ,"Dance Team, High Kick",0,0,0,0
2011/2012,AZ,"Dance Team, Jazz",0,0,0,0
2011/2012,AZ,Decathlon,0,0,0,0
2011/2012,AZ,Drill Team,0,0,0,0
2011/2012,AZ,Equestrian,0,0,0,0
2011/2012,AZ,Fencing,0,0,0,0
2011/2012,AZ,Field Hockey,0,0,0,0
2011/2012,AZ,Flag Football,0,0,0,0
2011/2012,AZ,Football -- 11-Player,192,24,12237,270
2011/2012,AZ,Football -- 6-player,0,0,0,0
2011/2012,AZ,Football -- 8-player,13,7,1202,29
2011/2012,AZ,Football -- 9-player,0,0,0,0
2011/2012,AZ,Golf,182,136,1668,867
2011/2012,AZ,Gymnastics,0,0,0,0
2011/2012,AZ,Heptathlon,0,0,0,0
2011/2012,AZ,Ice Hockey,0,0,0,0
2011/2012,AZ,Judo,0,0,0,0
2011/2012,AZ,Kayaking,0,0,0,0
2011/2012,AZ,Lacrosse,0,0,0,0
2011/2012,AZ,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,AZ,Mt. Biking,0,0,0,0
2011/2012,AZ,Native Youth Olympics,0,0,0,0
2011/2012,AZ,None,0,0,0,0
2011/2012,AZ,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,AZ,Pentathlon,0,0,0,0
2011/2012,AZ,Riflery,0,0,0,0
2011/2012,AZ,Rodeo,0,0,0,0
2011/2012,AZ,RUGBY,0,0,0,0
2011/2012,AZ,Rythmic Gymnastics,0,0,0,0
2011/2012,AZ,sailing,0,0,0,0
2011/2012,AZ,Skiing -- Alpine,0,0,0,0
2011/2012,AZ,Skiing -- Cross Country,0,0,0,0
2011/2012,AZ,Snowboarding,0,0,0,0
2011/2012,AZ,Soccer,184,170,6810,5911
2011/2012,AZ,Softball -- Fast Pitch,0,227,0,6766
2011/2012,AZ,Softball -- Slow Pitch,0,0,0,0
2011/2012,AZ,Soft Tennis,0,0,0,0
2011/2012,AZ,Surfing,0,0,0,0
2011/2012,AZ,Swimming & Diving,124,123,2539,3125
2011/2012,AZ,Synchronized Swimming,0,0,0,0
2011/2012,AZ,Team Tennis,0,0,0,0
2011/2012,AZ,Tennis,155,158,2176,2515
2011/2012,AZ,Track and Field -- Indoor,0,0,0,0
2011/2012,AZ,Track and Field -- Outdoor,218,218,8462,6523
2011/2012,AZ,Volleyball,63,232,1551,7486
2011/2012,AZ,Water Polo,0,0,0,0
2011/2012,AZ,Weight Lifting,0,0,0,0
2011/2012,AZ,Wrestling,186,55,5753,221
2011/2012,AR,Adapted Basketball,0,0,0,0
2011/2012,AR,Adapted Bowling,0,0,0,0
2011/2012,AR,Adapted Floor Hockey,0,0,0,0
2011/2012,AR,Adapted Soccer,0,0,0,0
2011/2012,AR,Adapted Softball,0,0,0,0
2011/2012,AR,Adapted Track,0,0,0,0
2011/2012,AR,Air Riflery,0,0,0,0
2011/2012,AR,Archery,0,0,0,0
2011/2012,AR,Badminton,0,0,0,0
2011/2012,AR,Baseball,226,2,4746,4
2011/2012,AR,Basketball,289,287,5491,4592
2011/2012,AR,Bowling,55,57,606,539
2011/2012,AR,Competitive Spirit Squad,27,68,74,1379
2011/2012,AR,Crew,0,0,0,0
2011/2012,AR,Cross Country,102,94,1161,956
2011/2012,AR,DANCE,225,9,0,0
2011/2012,AR,Dance/Drill,0,0,0,0
2011/2012,AR,"Dance Team, High Kick",0,0,0,0
2011/2012,AR,"Dance Team, Jazz",0,0,0,0
2011/2012,AR,Decathlon,11,0,21,0
2011/2012,AR,Drill Team,0,0,0,0
2011/2012,AR,Equestrian,0,0,0,0
2011/2012,AR,Fencing,0,0,0,0
2011/2012,AR,Field Hockey,0,0,0,0
2011/2012,AR,Flag Football,0,0,0,0
2011/2012,AR,Football -- 11-Player,208,3,11440,12
2011/2012,AR,Football -- 6-player,2,0,136,0
2011/2012,AR,Football -- 8-player,0,0,0,0
2011/2012,AR,Football -- 9-player,0,0,0,0
2011/2012,AR,Golf,229,122,1374,533
2011/2012,AR,Gymnastics,0,3,0,44
2011/2012,AR,Heptathlon,0,0,0,0
2011/2012,AR,Ice Hockey,0,0,0,0
2011/2012,AR,Judo,0,0,0,0
2011/2012,AR,Kayaking,0,0,0,0
2011/2012,AR,Lacrosse,0,0,0,0
2011/2012,AR,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,AR,Mt. Biking,0,0,0,0
2011/2012,AR,Native Youth Olympics,0,0,0,0
2011/2012,AR,None,0,0,0,0
2011/2012,AR,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,AR,Pentathlon,0,0,0,0
2011/2012,AR,Riflery,7,3,77,15
2011/2012,AR,Rodeo,2,0,7,0
2011/2012,AR,RUGBY,0,0,0,0
2011/2012,AR,Rythmic Gymnastics,0,0,0,0
2011/2012,AR,sailing,0,0,0,0
2011/2012,AR,Skiing -- Alpine,0,0,0,0
2011/2012,AR,Skiing -- Cross Country,0,0,0,0
2011/2012,AR,Snowboarding,0,0,0,0
2011/2012,AR,Soccer,77,75,2075,1718
2011/2012,AR,Softball -- Fast Pitch,2,190,5,3423
2011/2012,AR,Softball -- Slow Pitch,0,0,0,0
2011/2012,AR,Soft Tennis,0,0,0,0
2011/2012,AR,Surfing,0,0,0,0
2011/2012,AR,Swimming & Diving,30,33,334,366
2011/2012,AR,Synchronized Swimming,0,0,0,0
2011/2012,AR,Team Tennis,0,0,0,0
2011/2012,AR,Tennis,131,130,1179,1170
2011/2012,AR,Track and Field -- Indoor,50,40,745,554
2011/2012,AR,Track and Field -- Outdoor,256,253,4864,3542
2011/2012,AR,Volleyball,0,129,0,2709
2011/2012,AR,Water Polo,0,0,0,0
2011/2012,AR,Weight Lifting,22,0,540,0
2011/2012,AR,Wrestling,42,0,1092,0
2011/2012,CA,Adapted Basketball,0,0,0,0
2011/2012,CA,Adapted Bowling,2,2,18,16
2011/2012,CA,Adapted Floor Hockey,0,0,0,0
2011/2012,CA,Adapted Soccer,4,4,103,47
2011/2012,CA,Adapted Softball,1,4,53,36
2011/2012,CA,Adapted Track,0,0,0,0
2011/2012,CA,Air Riflery,0,0,0,0
2011/2012,CA,Archery,3,4,21,10
2011/2012,CA,Badminton,176,203,3909,4969
2011/2012,CA,Baseball,1255,39,43209,309
2011/2012,CA,Basketball,1393,1345,44040,35134
2011/2012,CA,Bowling,12,10,282,147
2011/2012,CA,Competitive Spirit Squad,80,274,275,7585
2011/2012,CA,Crew,57,165,459,4473
2011/2012,CA,Cross Country,1171,1142,29162,23769
2011/2012,CA,DANCE,0,0,0,0
2011/2012,CA,Dance/Drill,0,0,0,0
2011/2012,CA,"Dance Team, High Kick",0,0,0,0
2011/2012,CA,"Dance Team, Jazz",0,0,0,0
2011/2012,CA,Decathlon,19,19,128,143
2011/2012,CA,Drill Team,0,0,0,0
2011/2012,CA,Equestrian,17,55,52,428
2011/2012,CA,Fencing,17,26,169,203
2011/2012,CA,Field Hockey,2,97,67,3349
2011/2012,CA,Flag Football,0,0,0,0
2011/2012,CA,Football -- 11-Player,1055,123,104334,276
2011/2012,CA,Football -- 6-player,0,0,0,0
2011/2012,CA,Football -- 8-player,45,7,2201,102
2011/2012,CA,Football -- 9-player,0,0,0,0
2011/2012,CA,Golf,970,805,11035,6919
2011/2012,CA,Gymnastics,9,59,62,1015
2011/2012,CA,Heptathlon,0,0,0,0
2011/2012,CA,Ice Hockey,18,9,241,73
2011/2012,CA,Judo,0,0,0,0
2011/2012,CA,Kayaking,0,0,0,0
2011/2012,CA,Lacrosse,198,170,8578,5412
2011/2012,CA,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,CA,Mt. Biking,23,18,277,115
2011/2012,CA,Native Youth Olympics,0,0,0,0
2011/2012,CA,None,0,0,0,0
2011/2012,CA,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,CA,Pentathlon,0,0,0,0
2011/2012,CA,Riflery,0,0,0,0
2011/2012,CA,Rodeo,11,19,69,85
2011/2012,CA,RUGBY,29,9,1142,140
2011/2012,CA,Rythmic Gymnastics,0,0,0,0
2011/2012,CA,sailing,0,0,0,0
2011/2012,CA,Skiing -- Alpine,28,24,256,234
2011/2012,CA,Skiing -- Cross Country,4,6,22,46
2011/2012,CA,Snowboarding,30,24,337,166
2011/2012,CA,Soccer,1254,1237,47801,43332
2011/2012,CA,Softball -- Fast Pitch,5,49,77,32636
2011/2012,CA,Softball -- Slow Pitch,0,0,0,0
2011/2012,CA,Soft Tennis,0,0,0,0
2011/2012,CA,Surfing,53,49,1104,338
2011/2012,CA,Swimming & Diving,861,881,22348,28145
2011/2012,CA,Synchronized Swimming,0,0,0,0
2011/2012,CA,Team Tennis,0,0,0,0
2011/2012,CA,Tennis,955,994,19380,22544
2011/2012,CA,Track and Field -- Indoor,0,0,0,0
2011/2012,CA,Track and Field -- Outdoor,1147,1152,54274,45732
2011/2012,CA,Volleyball,662,1337,15887,40507
2011/2012,CA,Water Polo,545,552,15669,14225
2011/2012,CA,Weight Lifting,27,16,1996,611
2011/2012,CA,Wrestling,843,474,27596,2008
2011/2012,CO,Adapted Basketball,0,0,0,0
2011/2012,CO,Adapted Bowling,0,0,0,0
2011/2012,CO,Adapted Floor Hockey,0,0,0,0
2011/2012,CO,Adapted Soccer,0,0,0,0
2011/2012,CO,Adapted Softball,0,0,0,0
2011/2012,CO,Adapted Track,0,0,0,0
2011/2012,CO,Air Riflery,0,0,0,0
2011/2012,CO,Archery,0,0,0,0
2011/2012,CO,Badminton,0,0,0,0
2011/2012,CO,Baseball,276,0,8276,93
2011/2012,CO,Basketball,334,333,8936,7129
2011/2012,CO,Bowling,0,0,0,0
2011/2012,CO,Competitive Spirit Squad,0,336,308,4750
2011/2012,CO,Crew,0,0,0,0
2011/2012,CO,Cross Country,231,231,4062,3763
2011/2012,CO,DANCE,0,0,0,0
2011/2012,CO,Dance/Drill,0,0,0,0
2011/2012,CO,"Dance Team, High Kick",0,0,0,0
2011/2012,CO,"Dance Team, Jazz",0,0,0,0
2011/2012,CO,Decathlon,0,0,0,0
2011/2012,CO,Drill Team,0,0,0,0
2011/2012,CO,Equestrian,0,0,0,0
2011/2012,CO,Fencing,0,0,0,0
2011/2012,CO,Field Hockey,0,14,0,573
2011/2012,CO,Flag Football,0,0,0,0
2011/2012,CO,Football -- 11-Player,218,0,15595,117
2011/2012,CO,Football -- 6-player,25,0,358,0
2011/2012,CO,Football -- 8-player,48,0,642,1
2011/2012,CO,Football -- 9-player,0,0,0,0
2011/2012,CO,Golf,209,171,2281,1429
2011/2012,CO,Gymnastics,0,37,0,552
2011/2012,CO,Heptathlon,0,0,0,0
2011/2012,CO,Ice Hockey,29,0,740,0
2011/2012,CO,Judo,0,0,0,0
2011/2012,CO,Kayaking,0,0,0,0
2011/2012,CO,Lacrosse,64,48,3938,1701
2011/2012,CO,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,CO,Mt. Biking,0,0,0,0
2011/2012,CO,Native Youth Olympics,0,0,0,0
2011/2012,CO,None,0,0,0,0
2011/2012,CO,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,CO,Pentathlon,0,0,0,0
2011/2012,CO,Riflery,0,0,0,0
2011/2012,CO,Rodeo,0,0,0,0
2011/2012,CO,RUGBY,0,0,0,0
2011/2012,CO,Rythmic Gymnastics,0,0,0,0
2011/2012,CO,sailing,0,0,0,0
2011/2012,CO,Skiing -- Alpine,14,14,133,102
2011/2012,CO,Skiing -- Cross Country,14,14,97,80
2011/2012,CO,Snowboarding,0,0,0,0
2011/2012,CO,Soccer,192,201,7265,7458
2011/2012,CO,Softball -- Fast Pitch,0,162,0,3933
2011/2012,CO,Softball -- Slow Pitch,0,0,0,0
2011/2012,CO,Soft Tennis,0,0,0,0
2011/2012,CO,Surfing,0,0,0,0
2011/2012,CO,Swimming & Diving,134,134,2099,4144
2011/2012,CO,Synchronized Swimming,0,0,0,0
2011/2012,CO,Team Tennis,0,0,0,0
2011/2012,CO,Tennis,140,150,3002,4675
2011/2012,CO,Track and Field -- Indoor,0,0,0,0
2011/2012,CO,Track and Field -- Outdoor,309,309,9164,6697
2011/2012,CO,Volleyball,0,330,0,9463
2011/2012,CO,Water Polo,0,0,0,0
2011/2012,CO,Weight Lifting,0,0,0,0
2011/2012,CO,Wrestling,235,0,5322,152
2011/2012,CT,Adapted Basketball,0,0,0,0
2011/2012,CT,Adapted Bowling,0,0,0,0
2011/2012,CT,Adapted Floor Hockey,0,0,0,0
2011/2012,CT,Adapted Soccer,0,0,0,0
2011/2012,CT,Adapted Softball,0,0,0,0
2011/2012,CT,Adapted Track,0,0,0,0
2011/2012,CT,Air Riflery,0,0,0,0
2011/2012,CT,Archery,0,0,0,0
2011/2012,CT,Badminton,0,0,0,0
2011/2012,CT,Baseball,173,0,5892,3
2011/2012,CT,Basketball,179,177,5339,4028
2011/2012,CT,Bowling,0,0,0,0
2011/2012,CT,Competitive Spirit Squad,0,153,188,2299
2011/2012,CT,Crew,0,0,0,0
2011/2012,CT,Cross Country,171,169,3846,2684
2011/2012,CT,DANCE,0,0,0,0
2011/2012,CT,Dance/Drill,0,0,0,0
2011/2012,CT,"Dance Team, High Kick",0,0,0,0
2011/2012,CT,"Dance Team, Jazz",0,0,0,0
2011/2012,CT,Decathlon,0,0,0,0
2011/2012,CT,Drill Team,0,0,0,0
2011/2012,CT,Equestrian,0,0,0,0
2011/2012,CT,Fencing,0,0,0,0
2011/2012,CT,Field Hockey,0,79,0,3214
2011/2012,CT,Flag Football,0,0,0,0
2011/2012,CT,Football -- 11-Player,146,0,10602,18
2011/2012,CT,Football -- 6-player,0,0,0,0
2011/2012,CT,Football -- 8-player,0,0,0,0
2011/2012,CT,Football -- 9-player,0,0,0,0
2011/2012,CT,Golf,156,40,1843,591
2011/2012,CT,Gymnastics,0,51,0,438
2011/2012,CT,Heptathlon,0,0,0,0
2011/2012,CT,Ice Hockey,62,0,1584,5
2011/2012,CT,Judo,0,0,0,0
2011/2012,CT,Kayaking,0,0,0,0
2011/2012,CT,Lacrosse,83,79,4467,3368
2011/2012,CT,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,CT,Mt. Biking,0,0,0,0
2011/2012,CT,Native Youth Olympics,0,0,0,0
2011/2012,CT,None,0,0,0,0
2011/2012,CT,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,CT,Pentathlon,0,0,0,0
2011/2012,CT,Riflery,0,0,0,0
2011/2012,CT,Rodeo,0,0,0,0
2011/2012,CT,RUGBY,0,0,0,0
2011/2012,CT,Rythmic Gymnastics,0,0,0,0
2011/2012,CT,sailing,0,0,0,0
2011/2012,CT,Skiing -- Alpine,0,0,0,0
2011/2012,CT,Skiing -- Cross Country,0,0,0,0
2011/2012,CT,Snowboarding,0,0,0,0
2011/2012,CT,Soccer,172,155,7104,5808
2011/2012,CT,Softball -- Fast Pitch,0,170,0,4219
2011/2012,CT,Softball -- Slow Pitch,0,0,0,0
2011/2012,CT,Soft Tennis,0,0,0,0
2011/2012,CT,Surfing,0,0,0,0
2011/2012,CT,Swimming & Diving,101,97,2456,2746
2011/2012,CT,Synchronized Swimming,0,0,0,0
2011/2012,CT,Team Tennis,0,0,0,0
2011/2012,CT,Tennis,135,140,2476,3122
2011/2012,CT,Track and Field -- Indoor,154,151,4884,4788
2011/2012,CT,Track and Field -- Outdoor,168,161,7089,6562
2011/2012,CT,Volleyball,39,156,862,4497
2011/2012,CT,Water Polo,0,0,0,0
2011/2012,CT,Weight Lifting,0,0,0,0
2011/2012,CT,Wrestling,129,0,2961,67
2011/2012,DC,Adapted Basketball,0,0,0,0
2011/2012,DC,Adapted Bowling,0,0,0,0
2011/2012,DC,Adapted Floor Hockey,0,0,0,0
2011/2012,DC,Adapted Soccer,0,0,0,0
2011/2012,DC,Adapted Softball,0,0,0,0
2011/2012,DC,Adapted Track,0,0,0,0
2011/2012,DC,Air Riflery,0,0,0,0
2011/2012,DC,Archery,0,0,0,0
2011/2012,DC,Badminton,0,0,0,0
2011/2012,DC,Baseball,13,0,227,0
2011/2012,DC,Basketball,15,15,356,205
2011/2012,DC,Bowling,0,0,0,0
2011/2012,DC,Competitive Spirit Squad,0,14,0,133
2011/2012,DC,Crew,1,1,41,49
2011/2012,DC,Cross Country,11,11,94,65
2011/2012,DC,DANCE,0,0,0,0
2011/2012,DC,Dance/Drill,0,0,0,0
2011/2012,DC,"Dance Team, High Kick",0,0,0,0
2011/2012,DC,"Dance Team, Jazz",0,0,0,0
2011/2012,DC,Decathlon,0,0,0,0
2011/2012,DC,Drill Team,0,0,0,0
2011/2012,DC,Equestrian,0,0,0,0
2011/2012,DC,Fencing,0,0,0,0
2011/2012,DC,Field Hockey,0,0,0,0
2011/2012,DC,Flag Football,0,0,0,0
2011/2012,DC,Football -- 11-Player,12,0,727,0
2011/2012,DC,Football -- 6-player,0,0,0,0
2011/2012,DC,Football -- 8-player,0,0,0,0
2011/2012,DC,Football -- 9-player,0,0,0,0
2011/2012,DC,Golf,6,4,60,21
2011/2012,DC,Gymnastics,0,0,0,0
2011/2012,DC,Heptathlon,0,0,0,0
2011/2012,DC,Ice Hockey,0,0,0,0
2011/2012,DC,Judo,0,0,0,0
2011/2012,DC,Kayaking,0,0,0,0
2011/2012,DC,Lacrosse,0,1,0,17
2011/2012,DC,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,DC,Mt. Biking,0,0,0,0
2011/2012,DC,Native Youth Olympics,0,0,0,0
2011/2012,DC,None,0,0,0,0
2011/2012,DC,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,DC,Pentathlon,0,0,0,0
2011/2012,DC,Riflery,0,0,0,0
2011/2012,DC,Rodeo,0,0,0,0
2011/2012,DC,RUGBY,0,0,0,0
2011/2012,DC,Rythmic Gymnastics,0,0,0,0
2011/2012,DC,sailing,0,0,0,0
2011/2012,DC,Skiing -- Alpine,7,7,158,97
2011/2012,DC,Skiing -- Cross Country,0,0,0,0
2011/2012,DC,Snowboarding,0,0,0,0
2011/2012,DC,Soccer,7,5,143,120
2011/2012,DC,Softball -- Fast Pitch,0,13,0,158
2011/2012,DC,Softball -- Slow Pitch,0,0,0,0
2011/2012,DC,Soft Tennis,0,0,0,0
2011/2012,DC,Surfing,0,0,0,0
2011/2012,DC,Swimming & Diving,3,3,19,22
2011/2012,DC,Synchronized Swimming,0,0,0,0
2011/2012,DC,Team Tennis,0,0,0,0
2011/2012,DC,Tennis,7,7,33,51
2011/2012,DC,Track and Field -- Indoor,12,11,139,73
2011/2012,DC,Track and Field -- Outdoor,12,10,181,103
2011/2012,DC,Volleyball,0,12,0,148
2011/2012,DC,Water Polo,0,0,0,0
2011/2012,DC,Weight Lifting,0,0,0,0
2011/2012,DC,Wrestling,0,0,0,0
2011/2012,DE,Adapted Basketball,0,0,0,0
2011/2012,DE,Adapted Bowling,0,0,0,0
2011/2012,DE,Adapted Floor Hockey,0,0,0,0
2011/2012,DE,Adapted Soccer,0,0,0,0
2011/2012,DE,Adapted Softball,0,0,0,0
2011/2012,DE,Adapted Track,0,0,0,0
2011/2012,DE,Air Riflery,0,0,0,0
2011/2012,DE,Archery,0,0,0,0
2011/2012,DE,Badminton,0,0,0,0
2011/2012,DE,Baseball,48,0,1422,1
2011/2012,DE,Basketball,50,50,1399,1018
2011/2012,DE,Bowling,0,0,0,0
2011/2012,DE,Competitive Spirit Squad,0,10,5,164
2011/2012,DE,Crew,3,3,75,68
2011/2012,DE,Cross Country,45,44,893,719
2011/2012,DE,DANCE,0,0,0,0
2011/2012,DE,Dance/Drill,0,0,0,0
2011/2012,DE,"Dance Team, High Kick",0,0,0,0
2011/2012,DE,"Dance Team, Jazz",0,0,0,0
2011/2012,DE,Decathlon,0,0,0,0
2011/2012,DE,Drill Team,0,0,0,0
2011/2012,DE,Equestrian,0,0,0,0
2011/2012,DE,Fencing,0,0,0,0
2011/2012,DE,Field Hockey,0,46,0,1425
2011/2012,DE,Flag Football,0,0,0,0
2011/2012,DE,Football -- 11-Player,46,0,3028,0
2011/2012,DE,Football -- 6-player,0,0,0,0
2011/2012,DE,Football -- 8-player,0,0,0,0
2011/2012,DE,Football -- 9-player,0,0,0,0
2011/2012,DE,Golf,43,2,393,58
2011/2012,DE,Gymnastics,0,0,0,0
2011/2012,DE,Heptathlon,0,0,0,0
2011/2012,DE,Ice Hockey,0,0,0,0
2011/2012,DE,Judo,0,0,0,0
2011/2012,DE,Kayaking,0,0,0,0
2011/2012,DE,Lacrosse,42,29,1661,888
2011/2012,DE,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,DE,Mt. Biking,0,0,0,0
2011/2012,DE,Native Youth Olympics,0,0,0,0
2011/2012,DE,None,0,0,0,0
2011/2012,DE,Outrigger Canoe Paddling LL,0,0,0,0
2011/2012,DE,Pentathlon,0,0,0,0
2011/2012,DE,Riflery,0,0,0,0
2011/2012,DE,Rodeo,0,0,0,0
2011/2012,DE,RUGBY,0,0,0,0
2011/2012,DE,Rythmic Gymnastics,0,0,0,0
2011/2012,DE,sailing,0,0,0,0
2011/2012,DE,Skiing -- Alpine,0,0,0,0
2011/2012,DE,Skiing -- Cross Country,0,0,0,0
2011/2012,DE,Snowboarding,0,0,0,0
2011/2012,DE,Soccer,49,49,1908,1549
2011/2012,DE,Softball -- Fast Pitch,0,44,0,1086
2011/2012,DE,Softball -- Slow Pitch,0,0,0,0
2011/2012,DE,Soft Tennis,0,0,0,0
2011/2012,DE,Surfing,0,0,0,0
2011/2012,DE,Swimming & Diving,36,37,602,807
2011/2012,DE,Synchronized Swimming,0,0,0,0
2011/2012,DE,Team Tennis,0,0,0,0
2011/2012,DE,Tennis,33,34,477,580
2011/2012,DE,Track and Field -- Indoor,35,35,835,785
2011/2012,DE,Track and Field -- Outdoor,41,42,1368,1160
2011/2012,DE,Volleyball,6,49,130,1450
2011/2012,DE,Water Polo,0,0,0,0
2011/2012,DE,Weight Lifting,0,0,0,0
2011/2012,DE,Wrestling,46,0,1126,11
2011/2012,FL,Adapted Basketball,0,0,0,0
2011/2012,FL,Adapted Bowling,0,0,0,0
2011/2012,FL,Adapted Floor Hockey,0,0,0,0
2011/2012,FL,Adapted Soccer,0,0,0,0
2011/2012,FL,Adapted Softball,0,0,0,0
2011/2012,FL,Adapted Track,0,0,2,2
2011/2012,FL,Air Riflery,0,0,0,0
2011/2012,FL,Archery,0,0,0,0
2011/2012,FL,Badminton,0,0,0,0
2011/2012,FL,Baseball,616,0,15827,8
2011/2012,FL,Basketball,674,641,15761,11080
2011/2012,FL,Bowling,161,154,1219,1455
2011/2012,FL,Competitive Spirit Squad,0,249,239,6016
2011/2012,FL,Crew,0,0,0,0
2011/2012,FL,Cross Country,551,535,6966,6584
2011/2012,FL,DANCE,0,0,0,0
2011/2012,FL,Dance/Drill,0,0,0,0
2011/2012,FL,"Dance Team, High Kick",0,0,0,0
2011/2012,FL,"Dance Team, Jazz",0,0,0,0
2011/2012,FL,Decathlon,0,0,0,0
2011/2012,FL,Drill Team,0,0,0,0
2011/2012,FL,Equestrian,0,0,0,0
2011/2012,FL,Fencing,0,0,0,0
2011/2012,FL,Field Hockey,0,0,0,0
2011/2012,FL,Flag Football,0,193,0,5538
2011/2012,FL,Football -- 11-Player,554,0,41127,36
2011/2012,FL,Football -- 6-player,0,0,0,0
2011/2012,FL,Football -- 8-player,0,0,0,0
2011/2012,FL,Football -- 9-player,0,0,0,0
2011/2012,FL,Golf,513,408,4004,2384
2011/2012,FL,Gymnastics,0,0,0,0
2011/2012,FL,Heptathlon,0,0,0,0
2011/2012,FL,Ice Hockey,0,0,0,0
2011/2012,FL,Judo,0,0,0,0
2011/2012,FL,Kayaking,0,0,0,0
2011/2012,FL,Lacrosse,147,125,5181,3706
2011/2012,FL,Mixed 6-Coed Volleyball,0,0,0,0
2011/2012,FL,Mt. Biking,0,0,0,0
