Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AZ,Adapted Football,0,0,0,0
2018/2019,AZ,Adapted Soccer,0,0,0,0
2018/2019,AZ,Adapted Softball,0,0,0,0
2018/2019,AZ,Adapted Track,0,0,0,0
2018/2019,AZ,Adapted Volleyball,0,0,0,0
2018/2019,AZ,Adaptive Corn Toss,0,0,0,0
2018/2019,AZ,Adaptive Golf,0,0,0,0
2018/2019,AZ,Adaptive Handball,0,0,0,0
2018/2019,AZ,Adaptive Strength Training,0,0,0,0
2018/2019,AZ,Adaptive Tennis,0,0,0,0
2018/2019,AZ,Air Riflery,0,0,0,0
2018/2019,AZ,Archery,0,0,0,0
2018/2019,AZ,Badminton,0,71,0,1412
2018/2019,AZ,Baseball,240,11,7509,18
2018/2019,AZ,Basketball,260,259,8219,6322
2018/2019,AZ,Bass Fishing,0,0,0,0
2018/2019,AZ,Beach Volleyball,0,0,0,0
2018/2019,AZ,Bocce - Outdoor,0,0,0,0
2018/2019,AZ,Bowling,0,0,0,0
2018/2019,AZ,Canoe Paddling,0,0,0,0
2018/2019,AZ,Competitive Spirit* (Boys who cheer/Girls who cheer),94,212,322,6098
2018/2019,AZ,Crew,0,0,0,0
2018/2019,AZ,Cross Country,237,236,3507,2687
2018/2019,AZ,Cycling,0,0,0,0
2018/2019,AZ,Dance,0,0,0,0
2018/2019,AZ,Dance/Drill,0,0,0,0
2018/2019,AZ,"Dance Team, High Kick",0,0,0,0
2018/2019,AZ,"Dance Team, Jazz",0,0,0,0
2018/2019,AZ,Decathlon,0,0,0,0
2018/2019,AZ,Drill Team,0,0,0,0
2018/2019,AZ,Equestrian,0,0,0,0
2018/2019,AZ,Fencing,0,0,0,0
2018/2019,AZ,Field Hockey,0,0,0,0
2018/2019,AZ,Figure Skating,0,0,0,0
2018/2019,AZ,Flag Football,0,0,0,0
2018/2019,AZ,Football -- 11-Player,209,47,16498,79
2018/2019,AZ,Football -- 6-player,0,0,0,0
2018/2019,AZ,Football -- 8-player,25,6,1974,9
2018/2019,AZ,Football -- 9-player,0,0,0,0
2018/2019,AZ,Golf,195,116,1634,988
2018/2019,AZ,Gymnastics,0,0,0,0
2018/2019,AZ,Heptathlon,0,0,0,0
2018/2019,AZ,Ice Hockey,0,0,0,0
2018/2019,AZ,Judo,0,0,0,0
2018/2019,AZ,Kayaking,0,0,0,0
2018/2019,AZ,Lacrosse,0,0,0,0
2018/2019,AZ,Martial Arts,0,0,0,0
2018/2019,AZ,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,AZ,Mt. Biking,0,0,0,0
2018/2019,AZ,Native Youth Olympics,0,0,0,0
2018/2019,AZ,Riflery,0,0,0,0
2018/2019,AZ,Rock Climbing,0,0,0,0
2018/2019,AZ,Rodeo,0,0,0,0
2018/2019,AZ,Roller Hockey,0,0,0,0
2018/2019,AZ,Rugby,0,0,0,0
2018/2019,AZ,Rythmic Gymnastics,0,0,0,0
2018/2019,AZ,Sailing,0,0,0,0
2018/2019,AZ,Sand Volleyball,0,65,0,951
2018/2019,AZ,Skiing -- Alpine,0,0,0,0
2018/2019,AZ,Skiing -- Cross Country,0,0,0,0
2018/2019,AZ,Snowboarding,0,0,0,0
2018/2019,AZ,Soccer,212,190,7848,6489
2018/2019,AZ,Softball -- Fast Pitch,0,240,0,6690
2018/2019,AZ,Softball -- Slow Pitch,0,0,0,0
2018/2019,AZ,Soft Tennis,0,0,0,0
2018/2019,AZ,Squash,0,0,0,0
2018/2019,AZ,Surfing,0,0,0,0
2018/2019,AZ,Swimming & Diving,156,157,2641,3232
2018/2019,AZ,Synchronized Swimming,0,0,0,0
2018/2019,AZ,Team Tennis,0,0,0,0
2018/2019,AZ,Tennis,174,179,2131,2672
2018/2019,AZ,Track and Field -- Indoor,0,0,0,0
2018/2019,AZ,Track and Field -- Outdoor,243,244,8984,6530
2018/2019,AZ,Trap Shooting,0,0,0,0
2018/2019,AZ,Ultimate Frisbee,0,0,0,0
2018/2019,AZ,Unified Basketball,0,0,0,0
2018/2019,AZ,Unified Flag Football,0,0,0,0
2018/2019,AZ,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,AZ,Volleyball,95,262,2359,8159
2018/2019,AZ,Water Polo,0,0,0,0
2018/2019,AZ,Weight Lifting,0,0,0,0
2018/2019,AZ,Wrestling,202,136,4894,481
2018/2019,AR,Adapted Basketball,14,10,135,59
2018/2019,AR,Adapted Bocce - Indoor,0,0,0,0
2018/2019,AR,Adapted Bowling,6,6,42,33
2018/2019,AR,Adapted Floor Hockey,0,0,0,0
2018/2019,AR,Adapted Soccer,2,4,13,54
2018/2019,AR,Adapted Softball,0,0,0,0
2018/2019,AR,Adapted Track,0,0,0,0
2018/2019,AR,Adapted Volleyball,0,0,0,0
2018/2019,AR,Adaptive Corn Toss,0,0,0,0
2018/2019,AR,Adaptive Golf,0,0,0,0
2018/2019,AR,Adaptive Handball,0,0,0,0
2018/2019,AR,Adaptive Strength Training,0,0,0,0
2018/2019,AR,Adaptive Tennis,0,0,0,0
2018/2019,AR,Air Riflery,4,3,16,14
2018/2019,AR,Archery,61,56,539,475
2018/2019,AR,Badminton,0,0,0,0
2018/2019,AR,Baseball,261,2,5489,10
2018/2019,AR,Basketball,286,274,5144,4000
2018/2019,AR,Bass Fishing,0,0,0,0
2018/2019,AR,Beach Volleyball,0,0,0,0
2018/2019,AR,Bocce - Outdoor,0,0,0,0
2018/2019,AR,Bowling,69,70,732,655
2018/2019,AR,Canoe Paddling,0,0,0,0
2018/2019,AR,Competitive Spirit* (Boys who cheer/Girls who cheer),35,106,77,1846
2018/2019,AR,Crew,0,0,0,0
2018/2019,AR,Cross Country,171,173,1862,1506
2018/2019,AR,Cycling,0,0,0,0
2018/2019,AR,Dance,7,42,14,741
